company_name,url,city,state,country,employees,linkedin_url,founded,Industry,GrowjoRanking,Previous Ranking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
OpenStore,open.store,Miami,FL,United States,135,http://www.linkedin.com/company/openstore,2021,Tech Services,168,169,22134250,1,,Lux,,,970000000,,https://www.growjo.com/company/OpenStore,https://www.indeed.com/jobs?q=company%3A(OpenStore),150%,For Contact Direct Phone Numbers and Emails see Lead411
Fountain,fountain.com,San Francisco,CA,United States,299,http://www.linkedin.com/company/fountaininc/,2014,HRTech,169,170,55829200,1,saas,B Capital,,,1000000000,,https://www.growjo.com/company/Fountain,https://www.indeed.com/jobs?q=company%3A(Fountain),20%,For Contact Direct Phone Numbers and Emails see Lead411
Stax,staxpayments.com,Orlando,FL,United States,238,http://www.linkedin.com/company/staxpayments/,2014,Fintech,170,171,34937500,1,,Blue Star,,,1000000000,,https://www.growjo.com/company/Stax,https://www.indeed.com/jobs?q=company%3A(Stax),17%,For Contact Direct Phone Numbers and Emails see Lead411
CHEQ,cheq.ai,New York,NY,United States,258,http://www.linkedin.com/company/cheq-ai,2016,IT Security,171,172,59430300,1,"Advertising, Cyber Security",Tiger Global,,,1000000000,$182M,https://www.growjo.com/company/CHEQ,https://www.indeed.com/jobs?q=company%3A(CHEQ),74%,For Contact Direct Phone Numbers and Emails see Lead411
BAE Systems,baesystems.com,London,,UK,36,http://www.linkedin.com/company/bae-systems,1999,Defense,172,173,20684824160,1,"Cloud Computing, Innovation Engineering, Cloud Infrastructure, Cyber Security",,,,,$85.2M,https://www.growjo.com/company/BAE_Systems,https://www.indeed.com/jobs?q=company%3A(BAE Systems),6%,For Contact Direct Phone Numbers and Emails see Lead411
FlashParking,flashparking.com,Austin,TX,United States,724,http://www.linkedin.com/company/flashparking,2011,Tech Services,173,174,157586000,1,,,,,1000000000,$64.3M,https://www.growjo.com/company/FlashParking,https://www.indeed.com/jobs?q=company%3A(FlashParking),37%,For Contact Direct Phone Numbers and Emails see Lead411
SOURCE Global,source.co,Tempe,AZ,United States,160,http://www.linkedin.com/company/sourceglobal,2014,Environmental,174,175,43890000,1,,"Breakthrough Energy Ventures, Material Impact, 3x5 Special Opportunity Partners",,,1160000000,,https://www.growjo.com/company/SOURCE_Global,https://www.indeed.com/jobs?q=company%3A(SOURCE Global),13%,For Contact Direct Phone Numbers and Emails see Lead411
EvolutionIQ,evolutioniq.com,New York,NY,United States,98,http://www.linkedin.com/company/evolution-iq,2019,Analytics,175,176,14420000,1,,Brewer Lane Ventures,,,150000000,,https://www.growjo.com/company/EvolutionIQ,https://www.indeed.com/jobs?q=company%3A(EvolutionIQ),113%,For Contact Direct Phone Numbers and Emails see Lead411
Levels,levelshealth.com,Brooklyn,NY,United States,92,http://www.linkedin.com/company/levels-health,2019,Health,176,177,26190000,1,,Andreessen Horowitz,,,300000000,$12M,https://www.growjo.com/company/Levels,https://www.indeed.com/jobs?q=company%3A(Levels),24%,For Contact Direct Phone Numbers and Emails see Lead411
Oura,ouraring.com,Oulu,,Finland,523,http://www.linkedin.com/company/oura,2013,Digital Health,177,178,97612200,6,saas,"Forerunner Ventures, Lifeline Ventures, MSD Capital",,,2550000000,$148.3 M,https://www.growjo.com/company/Oura,https://www.indeed.com/jobs?q=company%3A(Oura),10%,For Contact Direct Phone Numbers and Emails see Lead411
Wonder,wonder.com,New York,NY,United States,676,http://www.linkedin.com/company/wonderco/,2016,Food,178,179,100570000,1,,Marc Lore,,,3500000000,$14M,https://www.growjo.com/company/Wonder,https://www.indeed.com/jobs?q=company%3A(Wonder),2%,For Contact Direct Phone Numbers and Emails see Lead411
Codat,codat.io,London,,UK,307,http://www.linkedin.com/company/codat-limited,2017,Fintech,179,180,53162200,1,"Payments, Accounting, Banking, Fin Tech",JPMorgan Chase & Co,,,825000000,,https://www.growjo.com/company/Codat,https://www.indeed.com/jobs?q=company%3A(Codat),47%,For Contact Direct Phone Numbers and Emails see Lead411
Apkudo,apkudo.com,Baltimore,MD,United States,145,http://www.linkedin.com/company/apkudo,2011,Wireless,180,181,57190000,1,,"Closed Loop Partners, MissionOG",,,300000000,$28.4M,https://www.growjo.com/company/Apkudo,https://www.indeed.com/jobs?q=company%3A(Apkudo),22%,For Contact Direct Phone Numbers and Emails see Lead411
DNAnexus,dnanexus.com,Mountain View,CA,United States,263,http://www.linkedin.com/company/dnanexus,2009,Biotech,181,182,69657000,11,"Biotechnology,Cloud Computing,Data Storage,Enterprise Software,Healthcare,Information Security,Medical Diagnostics,Pharmaceuticals,Security,Storage",Blackstone,,B2B,600000000,$472.6M,https://www.growjo.com/company/DNAnexus,https://www.indeed.com/jobs?q=company%3A(DNAnexus),33%,For Contact Direct Phone Numbers and Emails see Lead411
BostonGene,bostongene.com,Lincoln,MA,United States,328,http://www.linkedin.com/company/bostongene,2015,Biotech,182,183,86800000,1,"Healthcare, Health Care Information Technology, Personal Health","Japan Industrial Partners, Impact Investment Capital, NEC",,,1000000000,$200M,https://www.growjo.com/company/BostonGene,https://www.indeed.com/jobs?q=company%3A(BostonGene),17%,For Contact Direct Phone Numbers and Emails see Lead411
Teleport,goteleport.com,Oakland,CA,United States,223,http://www.linkedin.com/company/go-teleport,2015,Tech Services,183,184,36474750,1,"Usa, Global",Bessemer,,,1100000000,,https://www.growjo.com/company/Teleport,https://www.indeed.com/jobs?q=company%3A(Teleport),3%,For Contact Direct Phone Numbers and Emails see Lead411
prezent.ai,prezent.ai,Los Altos,CA,United States,101,http://www.linkedin.com/company/prezent-ai,2021,Tech Services,184,185,15370000,1,,Greycroft,,,100000000,,https://www.growjo.com/company/prezent.ai,https://www.indeed.com/jobs?q=company%3A(prezent.ai),102%,For Contact Direct Phone Numbers and Emails see Lead411
eSentire,esentire.com,Waterloo,ON,Canada,611,http://www.linkedin.com/company/esentire-inc-,2001,IT Security,185,186,166329360,8,"saas, Analytics,Human Resources Hr,Information Security,Network / Hosting / Infrastructure,Physical Security,Security",Georgian,,B2B,1000000000,$411.2M,https://www.growjo.com/company/eSentire,https://www.indeed.com/jobs?q=company%3A(eSentire),18%,For Contact Direct Phone Numbers and Emails see Lead411
Cross River Bank,crossriver.com,Fort Lee,NJ,United States,897,http://www.linkedin.com/company/cross-river-bank,2008,Banking,186,187,282882600,1,,"Eldridge, a16z",,,3000000000,$908M,https://www.growjo.com/company/Cross_River_Bank,https://www.indeed.com/jobs?q=company%3A(Cross River Bank),22%,For Contact Direct Phone Numbers and Emails see Lead411
UPSIDE Foods,upsidefoods.com,Berkeley,CA,USA,252,http://www.linkedin.com/company/upsidefoods,,Food,187,188,113062500,1,,"Battery Ventures, Adams Street Partners, Coatue Management",,,1000000000,$206M,https://www.growjo.com/company/UPSIDE_Foods,https://www.indeed.com/jobs?q=company%3A(UPSIDE Foods),24%,For Contact Direct Phone Numbers and Emails see Lead411
Autograph,autograph.io,Santa Monica,CA,United States,117,http://www.linkedin.com/company/autograph-io,2021,Fintech,188,189,15990000,1,,"Andreessen Horowitz, Kleiner Perkins",,,700000000,$13.3M,https://www.growjo.com/company/Autograph,https://www.indeed.com/jobs?q=company%3A(Autograph),38%,For Contact Direct Phone Numbers and Emails see Lead411
Celestial AI,celestial.ai,Santa Clara,CA,United States,60,http://www.linkedin.com/company/celestial-ai,2020,AI,189,190,7673400,1,,Koch Disruptive Technologies (KDT),,,150000000,$63.9M,https://www.growjo.com/company/Celestial_AI,https://www.indeed.com/jobs?q=company%3A(Celestial AI),94%,For Contact Direct Phone Numbers and Emails see Lead411
Ironclad,ironcladapp.com,San Francisco,CA,United States,538,http://www.linkedin.com/company/ironclad-inc-,2014,Legaltech,190,191,100457000,34,"SaaS, legal, legaltech","Accel, Sequoia Capital, Y Combinator",500 Startups,,3200000000,$334M,https://www.growjo.com/company/Ironclad,https://www.indeed.com/jobs?q=company%3A(Ironclad),21%,For Contact Direct Phone Numbers and Emails see Lead411
AE Industrial Partners,aeroequity.com,Boca Raton,FL,United States,74,http://www.linkedin.com/company/ae-industrial-partners-llc,1998,Aviation,191,192,19188000,1,,,,,,,https://www.growjo.com/company/AE_Industrial_Partners,https://www.indeed.com/jobs?q=company%3A(AE Industrial Partners),21%,For Contact Direct Phone Numbers and Emails see Lead411
Pentera,pentera.io,Petah Tikva,,Israel,311,http://www.linkedin.com/company/penterasecurity,2015,IT Security,192,193,84719160,1,,"AWZ Ventures, Blackstone, Insight Partners",,,1000000000,$189.5M,https://www.growjo.com/company/Pentera,https://www.indeed.com/jobs?q=company%3A(Pentera),74%,For Contact Direct Phone Numbers and Emails see Lead411
Fireside,apps.apple.com,,,,68,http://www.linkedin.com/company/fireside,,Tech Services,193,194,8956650,1,,,,,125000000,$35M,https://www.growjo.com/company/Fireside,https://www.indeed.com/jobs?q=company%3A(Fireside),162%,For Contact Direct Phone Numbers and Emails see Lead411
Uniswap,uniswap.org,Brooklyn,NY,USA,131,http://www.linkedin.com/company/uniswaporg,,Tech Services,194,195,20010000,1,,,,,1660000000,,https://www.growjo.com/company/Uniswap,https://www.indeed.com/jobs?q=company%3A(Uniswap),118%,For Contact Direct Phone Numbers and Emails see Lead411
Balance,getbalance.com,San Francisco,CA,United States,89,http://www.linkedin.com/company/getbalance,2020,Fintech,195,196,12090000,1,,Ribbit Capital,,,365000000,$0.03B,https://www.growjo.com/company/Balance,https://www.indeed.com/jobs?q=company%3A(Balance),89%,For Contact Direct Phone Numbers and Emails see Lead411
KuCoin Exchange,kucoin.com,Mahe,,Seychelles,740,http://www.linkedin.com/company/kucoin/,2017,Fintech,196,197,144444300,1,saas,"IDG Capital, Matrix Partners China, Jump Crypto",,,10000000000,$170M,https://www.growjo.com/company/KuCoin_Exchange,https://www.indeed.com/jobs?q=company%3A(KuCoin Exchange),17%,For Contact Direct Phone Numbers and Emails see Lead411
airSlate,airslate.com,Brookline,MA,United States,678,http://www.linkedin.com/company/airslate,2018,Tech Services,197,198,147633200,1,,UiPath,,,1000000000,$130M,https://www.growjo.com/company/airSlate,https://www.indeed.com/jobs?q=company%3A(airSlate),4%,For Contact Direct Phone Numbers and Emails see Lead411
Traba,traba.work,Miami,FL,United States,63,http://www.linkedin.com/company/traba-work/,,HRTech,198,199,8038800,1,,Khosla,,,120000000,,https://www.growjo.com/company/Traba,https://www.indeed.com/jobs?q=company%3A(Traba),85%,For Contact Direct Phone Numbers and Emails see Lead411
Nutrabolt,nutrabolt.com,Austin,TX,United States,419,https://www.linkedin.com/company/nutraboltcorp,2002,Manufacturing,199,200,,,,,,,2790000000,,https://www.growjo.com/company/Nutrabolt,https://www.indeed.com/jobs?q=company%3A(Nutrabolt),25%,For Contact Direct Phone Numbers and Emails see Lead411
BeyondID,beyondid.com,San Francisco,CA,United States,192,http://www.linkedin.com/company/beyondid,2017,Tech Services,200,201,31486750,1,,,,,1000000000,$9M,https://www.growjo.com/company/BeyondID,https://www.indeed.com/jobs?q=company%3A(BeyondID),38%,For Contact Direct Phone Numbers and Emails see Lead411
PGT Innovations,pgtinnovations.com,Venice,CA,United States,333,http://www.linkedin.com/company/pgtinnovations,1980,Materials,201,202,1080000000,3,,,,,1306000000,$123.5M,https://www.growjo.com/company/PGT_Innovations,https://www.indeed.com/jobs?q=company%3A(PGT Innovations),19%,For Contact Direct Phone Numbers and Emails see Lead411
AutoFi,autofi.com,San Francisco,CA,United States,217,http://www.linkedin.com/company/autofi,2015,eCommerceTech,202,203,34314000,8,"Automotive,Banking,Finance","Santander Holdings USA, SVB Financial Group",500 Startups,B2B,700000000,$114.5M,https://www.growjo.com/company/AutoFi,https://www.indeed.com/jobs?q=company%3A(AutoFi),19%,For Contact Direct Phone Numbers and Emails see Lead411
Scandit,scandit.com,Zurich,,Switzerland,575,http://www.linkedin.com/company/scandit,2009,Fintech,203,204,99720400,48,saas,Warburg Pincus,,,1000000000,$273.1M,https://www.growjo.com/company/Scandit,https://www.indeed.com/jobs?q=company%3A(Scandit),31%,For Contact Direct Phone Numbers and Emails see Lead411
Jetti Resources,jettiresources.com,Boulder,CO,USA,41,http://www.linkedin.com/company/jetti-resources,2014,Mining,204,206,8006600,1,,,,,2500000000,,https://www.growjo.com/company/Jetti_Resources,https://www.indeed.com/jobs?q=company%3A(Jetti Resources),24%,For Contact Direct Phone Numbers and Emails see Lead411
Genies,genies.com,Los Angeles,CA,United States,183,http://www.linkedin.com/company/genies-inc,2013,Tech Services,205,207,29928000,19,saas,Silver Lake,,,1000000000,$52M,https://www.growjo.com/company/Genies,https://www.indeed.com/jobs?q=company%3A(Genies),21%,For Contact Direct Phone Numbers and Emails see Lead411
Integrity Marketing Group,integritymarketing.com,Dallas,TX,United States,525,http://www.linkedin.com/company/integrity-marketing.,2006,Insurance,206,208,153949400,28,,,,,,$2.1B,https://www.growjo.com/company/Integrity_Marketing_Group,https://www.indeed.com/jobs?q=company%3A(Integrity Marketing Group),24%,For Contact Direct Phone Numbers and Emails see Lead411
Coda Payments,codapayments.com,Singapore,,Singapore,497,http://www.linkedin.com/company/coda-payments,2011,Gaming,207,209,133913880,1,,"Smash Capital, Insight Partners",,,2500000000,$715.3M,https://www.growjo.com/company/Coda_Payments,https://www.indeed.com/jobs?q=company%3A(Coda Payments),12%,For Contact Direct Phone Numbers and Emails see Lead411
Codashop,codapay.com,Singapore,,SGP,497,http://www.linkedin.com/company/coda-payments,2011,Tech Services,208,210,93706250,1,,"GIC. Apis Partners, Insight Partners",,,2500000000,$715.3M,https://www.growjo.com/company/Codashop,https://www.indeed.com/jobs?q=company%3A(Codashop),12%,For Contact Direct Phone Numbers and Emails see Lead411
CoinDCX,coindcx.com,Mumbai,,India,694,http://www.linkedin.com/company/coindcx,2017,Fintech,209,211,67760550,1,"Cryptocurrency, Blockchains, Trade Platform, Bitcoin Exchange","Steadview Capital, Pantera Capital",,,2150000000,$109M,https://www.growjo.com/company/CoinDCX,https://www.indeed.com/jobs?q=company%3A(CoinDCX),84%,For Contact Direct Phone Numbers and Emails see Lead411
Multiplier,usemultiplier.com,Singapore,,SGP,393,http://www.linkedin.com/company/multipliertechnologies/,2020,HRTech,210,212,73431400,1,,"Tiger Global, Sequoia Capital India",,,400000000,$77M,https://www.growjo.com/company/Multiplier,https://www.indeed.com/jobs?q=company%3A(Multiplier),164%,For Contact Direct Phone Numbers and Emails see Lead411
Merrymaids,merrymaidsrichlandhills.com,North Richland Hills,TX,United States,375,http://www.linkedin.com/company/merrymaids,,,211,213,,,,,,,,,https://www.growjo.com/company/Merrymaids,https://www.indeed.com/jobs?q=company%3A(Merrymaids),733%,For Contact Direct Phone Numbers and Emails see Lead411
Optibus,optibus.com,New York,NY,United State,375,http://www.linkedin.com/company/optibus,,Software,212,214,75425000,,,"Bessemer Venture Partners, Insight Partners, Pitango Venture Capital",,,1300000000,$260M,https://www.growjo.com/company/Optibus,https://www.indeed.com/jobs?q=company%3A(Optibus),46%,For Contact Direct Phone Numbers and Emails see Lead411
LightSpeed Broadband Limited,lightspeed.co.uk,Lincolnshire,,UK,118,http://www.linkedin.com/company/lightspeed-broadband-limited,,Telecom,213,215,43225000,1,,,,,,,https://www.growjo.com/company/LightSpeed_Broadband_Limited,https://www.indeed.com/jobs?q=company%3A(LightSpeed Broadband Limited),638%,For Contact Direct Phone Numbers and Emails see Lead411
Unstoppable Domains,unstoppabledomains.com,San Francisco,CA,United States,153,http://www.linkedin.com/company/unstoppable-domains,2018,Tech Services,214,216,25095875,1,,Pantera Capital,,,1000000000,,https://www.growjo.com/company/Unstoppable_Domains,https://www.indeed.com/jobs?q=company%3A(Unstoppable Domains),23%,For Contact Direct Phone Numbers and Emails see Lead411
CredAvenue,go-yubi.com,Chennai,,India,643,,,Fintech,215,217,74893000,,,"Insight Partners, B Capital Group, Lightspeed Venture Partners",,,1300000000,$226.7M,https://www.growjo.com/company/CredAvenue,https://www.indeed.com/jobs?q=company%3A(CredAvenue),222%,For Contact Direct Phone Numbers and Emails see Lead411
Fattmerchant,fattmerchant.com,Orlando,FL,United States,238,http://www.linkedin.com/company/fatt-merchant,2014,Fintech,216,218,34937500,7,"Banking,Consumer Services,Finance,Payments",Fulcrum Equity Partners,,B2B,1000000000,$18.3M,https://www.growjo.com/company/Fattmerchant,https://www.indeed.com/jobs?q=company%3A(Fattmerchant),17%,For Contact Direct Phone Numbers and Emails see Lead411
Amagi Corporation,amagi.com,New York,NY,United States,717,http://www.linkedin.com/company/amagicorporation,2008,Media,217,219,220741950,1,,General Atlantic,,,1400000000,,https://www.growjo.com/company/Amagi_Corporation,https://www.indeed.com/jobs?q=company%3A(Amagi Corporation),55%,For Contact Direct Phone Numbers and Emails see Lead411
Stenn,stenn.com,London,,UK,170,http://www.linkedin.com/company/stenn-financial-services,,Finance,218,220,40409250,1,,Centerbridge,,,900000000,$400M,https://www.growjo.com/company/Stenn,https://www.indeed.com/jobs?q=company%3A(Stenn),60%,For Contact Direct Phone Numbers and Emails see Lead411
Biofourmis,biofourmis.com,Boston,MA,United States,573,http://www.linkedin.com/company/biofourmis,2015,Biotech,219,221,151683000,1,Medical Devices,"General Atlantic, CVS Health, MassMutual Ventures",,,1300000000,$463.6M,https://www.growjo.com/company/Biofourmis,https://www.indeed.com/jobs?q=company%3A(Biofourmis),38%,For Contact Direct Phone Numbers and Emails see Lead411
Somatus,somatus.com,Vienna,VA,United States,699,http://www.linkedin.com/company/somatus,,Hospital/Healthcare,220,222,283397400,57,,Flare Capital Partners,,,325000000,$465.1M,https://www.growjo.com/company/Somatus,https://www.indeed.com/jobs?q=company%3A(Somatus),12%,For Contact Direct Phone Numbers and Emails see Lead411
Kinder World,kinder.world,Amsterdam,,Netherlands,486,http://www.linkedin.com/company/akinderworld,2016,Fund-Raising,221,223,3500000,1,,,,,,,https://www.growjo.com/company/Kinder_World,https://www.indeed.com/jobs?q=company%3A(Kinder World),753%,For Contact Direct Phone Numbers and Emails see Lead411
MPOWER Financing,mpowerfinancing.com,Washington,DC,United States,225,http://www.linkedin.com/company/mpower-financing,2014,Fintech,222,224,32981000,24,"Financial Services, Finance, Finance Technology, Higher Education, Education Technology",,,,,$375M,https://www.growjo.com/company/MPOWER_Financing,https://www.indeed.com/jobs?q=company%3A(MPOWER Financing),58%,For Contact Direct Phone Numbers and Emails see Lead411
bttn.,bttnusa.com,Seattle,WA,United States,57,http://www.linkedin.com/company/bttn-usa,2021,Tech Services,223,225,7569000,1,,Tiger Global,,,110000000,$6.5M,https://www.growjo.com/company/bttn.,https://www.indeed.com/jobs?q=company%3A(bttn.),50%,For Contact Direct Phone Numbers and Emails see Lead411
Movable Ink,movableink.com,New York,NY,United States,610,http://www.linkedin.com/company/movable-ink,2010,Martech,224,226,113969800,26,"E-Commerce,Email,Human Resources Hr,Marketing, saas","Contour Venture Partners, Intel Capital, Silver Lake",,B2B,1360000000,$97.3M,https://www.growjo.com/company/Movable_Ink,https://www.indeed.com/jobs?q=company%3A(Movable Ink),18%,For Contact Direct Phone Numbers and Emails see Lead411
Optibus,optibus.com,Tel Aviv,,Israel,382,http://www.linkedin.com/company/optibus-ltd,2014,AI,225,227,71297800,1,,"Insight Partners, Bessemer Venture Partners, Verizon Ventures, Pitango First & Pitango Growth, Tencent",,,1300000000,$160M,https://www.growjo.com/company/Optibus,https://www.indeed.com/jobs?q=company%3A(Optibus),29%,For Contact Direct Phone Numbers and Emails see Lead411
Venture X,venturex.com,Royal Palm Beach,FL,United States,76,http://www.linkedin.com/company/venturex,,Executive,226,228,15000000,1,,,,,,,https://www.growjo.com/company/Venture_X,https://www.indeed.com/jobs?q=company%3A(Venture X),19%,For Contact Direct Phone Numbers and Emails see Lead411
Firework,firework.com,San Mateo,CA,United States,436,http://www.linkedin.com/company/fireworkhq/,2017,eCommerce,227,229,54646000,1,,SoftBank's Vision Fund 2,,,750000000,,https://www.growjo.com/company/Firework,https://www.indeed.com/jobs?q=company%3A(Firework),44%,For Contact Direct Phone Numbers and Emails see Lead411
Boeing Defense Space and Security,boeing.com,St. Louis,PA,United States,903,http://www.linkedin.com/company/boeing-defense-space-&-security,2002,Consulting,228,230,35000000,,,,,,,,https://www.growjo.com/company/Boeing_Defense_Space_and_Security,https://www.indeed.com/jobs?q=company%3A(Boeing Defense Space and Security),174%,For Contact Direct Phone Numbers and Emails see Lead411
Finxact,finxact.com,Jacksonville,FL,United States,158,http://www.linkedin.com/company/finxact,2016,Fintech,229,231,23198500,15,,,,,650000000,$42M,https://www.growjo.com/company/Finxact,https://www.indeed.com/jobs?q=company%3A(Finxact),24%,For Contact Direct Phone Numbers and Emails see Lead411
finn.auto,finn.auto,Munich,,Germany,416,http://www.linkedin.com/company/finn-auto,2019,Automotive,230,232,183146700,1,,Korelya Capital,,,500000000,$908.3M,https://www.growjo.com/company/finn.auto,https://www.indeed.com/jobs?q=company%3A(finn.auto),98%,For Contact Direct Phone Numbers and Emails see Lead411
Alation,alation.com,Redwood City,CA,United States,744,http://www.linkedin.com/company/alation,2012,Analytics,231,233,156356200,29,"saas, Analytics,Enterprise Software,Finance,Marketing,Software Development","Thoma Bravo, Sanabil Investments",,B2B,1700000000,$192M,https://www.growjo.com/company/Alation,https://www.indeed.com/jobs?q=company%3A(Alation),18%,For Contact Direct Phone Numbers and Emails see Lead411
Spotter,spotter.com,Los Angeles,CA,United States,128,http://www.linkedin.com/company/spotter-inc/,2019,Tech Services,232,234,19430000,1,,Vision Fund 2,,,1700000000,$67.9M,https://www.growjo.com/company/Spotter,https://www.indeed.com/jobs?q=company%3A(Spotter),68%,For Contact Direct Phone Numbers and Emails see Lead411
LayerZero Labs,layerzero.network,Vancouver,BC,CAN,39,http://www.linkedin.com/company/layerzerolabs/,2021,Fintech,233,235,6220500,1,,"Andreessen Horowitz, Sequoia Capital. Samsung Next",,,3000000000,,https://www.growjo.com/company/LayerZero_Labs,https://www.indeed.com/jobs?q=company%3A(LayerZero Labs),63%,For Contact Direct Phone Numbers and Emails see Lead411
Jeeves,tryjeeves.com,New York,NY,United States,246,http://www.linkedin.com/company/tryjeeves,,Fintech,234,236,36055500,1,,Tencent,,,2100000000,$368M,https://www.growjo.com/company/Jeeves,https://www.indeed.com/jobs?q=company%3A(Jeeves),11%,For Contact Direct Phone Numbers and Emails see Lead411
Installed Building Products,installedbuildingproducts.com,Columbus,OH,United States,421,http://www.linkedin.com/company/installed-building-products,,Construction,235,237,1880000000,1,,,,,3530000000,$250M,https://www.growjo.com/company/Installed_Building_Products,https://www.indeed.com/jobs?q=company%3A(Installed Building Products),6%,For Contact Direct Phone Numbers and Emails see Lead411
Progcap,progcap.com,New Delhi,,India,360,http://www.linkedin.com/company/progcap,2016,Finance,236,238,50406300,1,,Tiger Global,,,600000000,,https://www.growjo.com/company/Progcap,https://www.indeed.com/jobs?q=company%3A(Progcap),59%,For Contact Direct Phone Numbers and Emails see Lead411
Village Marketing,villagemarketing.com,New York,NY,United States,171,http://www.linkedin.com/company/village-marketing,2013,Marketing,237,239,47850000,1,,,,,,,https://www.growjo.com/company/Village_Marketing,https://www.indeed.com/jobs?q=company%3A(Village Marketing),677%,For Contact Direct Phone Numbers and Emails see Lead411
CoverManager,covermanager.com,Sevilla,,Spain,158,http://www.linkedin.com/company/covermanager,,Restaurants,238,240,31228750,1,,"Félix Ruiz, Paco Ávila",,,161422500,,https://www.growjo.com/company/CoverManager,https://www.indeed.com/jobs?q=company%3A(CoverManager),105%,For Contact Direct Phone Numbers and Emails see Lead411
OneCard,getonecard.app,Pune,,India,372,http://www.linkedin.com/company/fpltech/,2019,Fintech,239,241,32277050,1,,Temasek,,,1400000000,,https://www.growjo.com/company/OneCard,https://www.indeed.com/jobs?q=company%3A(OneCard),84%,For Contact Direct Phone Numbers and Emails see Lead411
Deliverect,deliverect.com,Ghent,,Belgium,495,http://www.linkedin.com/company/deliverecthq,2018,Delivery,240,242,33060000,43,,Coatue Management and Alkeon Capital Management,,,1400000000,$300.4M,https://www.growjo.com/company/Deliverect,https://www.indeed.com/jobs?q=company%3A(Deliverect),41%,For Contact Direct Phone Numbers and Emails see Lead411
Incredible Health,incrediblehealth.com,San Francisco,CA,United States,141,http://www.linkedin.com/company/incrediblehealth,2017,Hospital/Healthcare,241,243,42957000,1,,Base10,,,1650000000,,https://www.growjo.com/company/Incredible_Health,https://www.indeed.com/jobs?q=company%3A(Incredible Health),57%,For Contact Direct Phone Numbers and Emails see Lead411
Einride,einride.tech,Stockholm,,SWE,545,http://www.linkedin.com/company/einride,2016,Automotive,242,244,239725200,1,,"Temasek, BUILD Capital Partners, Northzone Ventures",,,1440000000,$152.3M,https://www.growjo.com/company/Einride,https://www.indeed.com/jobs?q=company%3A(Einride),62%,For Contact Direct Phone Numbers and Emails see Lead411
Lilac Solutions,lilacsolutions.com,Oakland,CA,United States,174,http://www.linkedin.com/company/lilac-solutions-inc.,,Mining,243,245,48197625,1,,,,,,$173.6M,https://www.growjo.com/company/Lilac_Solutions,https://www.indeed.com/jobs?q=company%3A(Lilac Solutions),370%,For Contact Direct Phone Numbers and Emails see Lead411
Optimism,Optimism.io,San Francisco,CA,United States,37,,,Tech Services,244,246,4408000,,,"Paradigm, Huobi Ventures, Andreessen Horowitz",,,1650000000,$178.5M,https://www.growjo.com/company/Optimism,https://www.indeed.com/jobs?q=company%3A(Optimism),131%,For Contact Direct Phone Numbers and Emails see Lead411
Cymulate,cymulate.com,Tel Aviv,,Israel,234,http://www.linkedin.com/company/cymulate,2016,Information Technology & Services,245,247,32264000,1,,One Peak,,,500000000,,https://www.growjo.com/company/Cymulate,https://www.indeed.com/jobs?q=company%3A(Cymulate),26%,For Contact Direct Phone Numbers and Emails see Lead411
Ampla,getampla.com,New York,NY,USA,110,http://www.linkedin.com/company/getampla,2018,Finance,246,248,24360000,1,,,,,,$290M,https://www.growjo.com/company/Ampla,https://www.indeed.com/jobs?q=company%3A(Ampla),511%,For Contact Direct Phone Numbers and Emails see Lead411
Aleo,aleo.org,Reno,NV,United States,56,http://www.linkedin.com/company/aleohq,,DevOps,247,249,7186200,1,,"Slow Ventures, Andreessen Horowitz, SoftBank Group",,,1450000000,$228M,https://www.growjo.com/company/Aleo,https://www.indeed.com/jobs?q=company%3A(Aleo),44%,For Contact Direct Phone Numbers and Emails see Lead411
MNT-Halan,mnt-halan.com,Giza,,Egypt,147,https://www.linkedin.com/company/mnt-halan/,,eCommerce,248,250,14595000,1,,Chimera Abu Dhabi,,,1000000000,,https://www.growjo.com/company/MNT-Halan,https://www.indeed.com/jobs?q=company%3A(MNT-Halan),52%,For Contact Direct Phone Numbers and Emails see Lead411
Abhi,abhi.com.pk,Karachi,,Pakistan,113,http://www.linkedin.com/company/abhikaropk,2021,Fintech,249,251,15470000,1,,Speedinvest,,,90000000,,https://www.growjo.com/company/Abhi,https://www.indeed.com/jobs?q=company%3A(Abhi),92%,For Contact Direct Phone Numbers and Emails see Lead411
First Mode,firstmode.com,Seattle,WA,United States,262,http://www.linkedin.com/company/firstmode,2018,Think Tanks,250,252,35000000,1,,,,,1500000000,,https://www.growjo.com/company/First_Mode,https://www.indeed.com/jobs?q=company%3A(First Mode),49%,For Contact Direct Phone Numbers and Emails see Lead411
Front,front.com,San Francisco,CA,United States,491,http://www.linkedin.com/company/fronthq,2013,Tech Services,251,253,95021400,1,,"Salesforce, Battery",,,1700000000,,https://www.growjo.com/company/Front,https://www.indeed.com/jobs?q=company%3A(Front),29%,For Contact Direct Phone Numbers and Emails see Lead411
Netomnia,netomnia.com,London,,UK,127,http://www.linkedin.com/company/netomnia,,Telecom,252,254,51480000,1,,,,,,,https://www.growjo.com/company/Netomnia,https://www.indeed.com/jobs?q=company%3A(Netomnia),505%,For Contact Direct Phone Numbers and Emails see Lead411
